college_code,college_name,branch_name,category,percentile,merit_rank,round,admission_type
1002,"Government College of Engineering, Amravati (Government Autonomous)",Civil Engineering,GOPEN,92.74,1282,CAP1,DIRECT_SECOND_YEAR_ENGINEERING
1002,"Government College of Engineering, Amravati (Government Autonomous)",Civil Engineering,GST,76.79,28609,CAP1,DIRECT_SECOND_YEAR_ENGINEERING
1002,"Government College of Engineering, Amravati (Government Autonomous)",Civil Engineering,GOBC,91.79,1927,CAP1,DIRECT_SECOND_YEAR_ENGINEERING
1002,"Government College of Engineering, Amravati (Government Autonomous)",Civil Engineering,LOPEN,93.00,1147,CAP1,DIRECT_SECOND_YEAR_ENGINEERING
1002,"Government College of Engineering, Amravati (Government Autonomous)",Civil Engineering,LSC,91.26,2355,CAP1,DIRECT_SECOND_YEAR_ENGINEERING
1002,"Government College of Engineering, Amravati (Government Autonomous)",Civil Engineering,LSEBC,88.53,5376,CAP1,DIRECT_SECOND_YEAR_ENGINEERING
1002,"Government College of Engineering, Amravati (Government Autonomous)",Civil Engineering,EWS,88.84,4977,CAP1,DIRECT_SECOND_YEAR_ENGINEERING
1002,"Government College of Engineering, Amravati (Government Autonomous)",Computer Science and Engineering,GOPEN,94.00,647,CAP1,DIRECT_SECOND_YEAR_ENGINEERING
1002,"Government College of Engineering, Amravati (Government Autonomous)",Computer Science and Engineering,GSC,90.86,2695,CAP1,DIRECT_SECOND_YEAR_ENGINEERING
1002,"Government College of Engineering, Amravati (Government Autonomous)",Computer Science and Engineering,GST,80.06,21009,CAP1,DIRECT_SECOND_YEAR_ENGINEERING
1002,"Government College of Engineering, Amravati (Government Autonomous)",Computer Science and Engineering,GOBC,93.89,698,CAP1,DIRECT_SECOND_YEAR_ENGINEERING
1002,"Government College of Engineering, Amravati (Government Autonomous)",Computer Science and Engineering,GSEBC,92.00,1761,CAP1,DIRECT_SECOND_YEAR_ENGINEERING
1002,"Government College of Engineering, Amravati (Government Autonomous)",Computer Science and Engineering,LOPEN,94.25,564,CAP1,DIRECT_SECOND_YEAR_ENGINEERING
1002,"Government College of Engineering, Amravati (Government Autonomous)",Computer Science and Engineering,EWS,94.90,373,CAP1,DIRECT_SECOND_YEAR_ENGINEERING
1002,"Government College of Engineering, Amravati (Government Autonomous)",Information Technology,GOPEN,93.16,1041,CAP1,DIRECT_SECOND_YEAR_ENGINEERING
1002,"Government College of Engineering, Amravati (Government Autonomous)",Information Technology,GSC,89.37,4279,CAP1,DIRECT_SECOND_YEAR_ENGINEERING
1002,"Government College of Engineering, Amravati (Government Autonomous)",Information Technology,GOBC,92.91,1188,CAP1,DIRECT_SECOND_YEAR_ENGINEERING
1002,"Government College of Engineering, Amravati (Government Autonomous)",Information Technology,LOPEN,93.66,784,CAP1,DIRECT_SECOND_YEAR_ENGINEERING
1002,"Government College of Engineering, Amravati (Government Autonomous)",Information Technology,LST,77.31,27376,CAP1,DIRECT_SECOND_YEAR_ENGINEERING
1002,"Government College of Engineering, Amravati (Government Autonomous)",Information Technology,LSEBC,90.00,3533,CAP1,DIRECT_SECOND_YEAR_ENGINEERING
1002,"Government College of Engineering, Amravati (Government Autonomous)",Information Technology,EWS,90.74,2798,CAP1,DIRECT_SECOND_YEAR_ENGINEERING
1002,"Government College of Engineering, Amravati (Government Autonomous)",Electrical Engineering,GOPEN,92.67,1329,CAP1,DIRECT_SECOND_YEAR_ENGINEERING
1002,"Government College of Engineering, Amravati (Government Autonomous)",Electrical Engineering,GST,79.45,22438,CAP1,DIRECT_SECOND_YEAR_ENGINEERING
1002,"Government College of Engineering, Amravati (Government Autonomous)",Electrical Engineering,GOBC,91.50,2157,CAP1,DIRECT_SECOND_YEAR_ENGINEERING
1002,"Government College of Engineering, Amravati (Government Autonomous)",Electrical Engineering,GSEBC,90.28,3250,CAP1,DIRECT_SECOND_YEAR_ENGINEERING
1002,"Government College of Engineering, Amravati (Government Autonomous)",Electrical Engineering,LOPEN,91.42,2227,CAP1,DIRECT_SECOND_YEAR_ENGINEERING
1002,"Government College of Engineering, Amravati (Government Autonomous)",Electrical Engineering,LSC,84.83,11282,CAP1,DIRECT_SECOND_YEAR_ENGINEERING
1002,"Government College of Engineering, Amravati (Government Autonomous)",Electrical Engineering,LOBC,88.61,5304,CAP1,DIRECT_SECOND_YEAR_ENGINEERING
1002,"Government College of Engineering, Amravati (Government Autonomous)",Electrical Engineering,EWS,88.79,5052,CAP1,DIRECT_SECOND_YEAR_ENGINEERING
1002,"Government College of Engineering, Amravati (Government Autonomous)",Electronics and Telecommunication Engg,GOPEN,91.58,2103,CAP1,DIRECT_SECOND_YEAR_ENGINEERING
1002,"Government College of Engineering, Amravati (Government Autonomous)",Electronics and Telecommunication Engg,GSC,88.41,5520,CAP1,DIRECT_SECOND_YEAR_ENGINEERING
1002,"Government College of Engineering, Amravati (Government Autonomous)",Electronics and Telecommunication Engg,GOBC,90.94,2606,CAP1,DIRECT_SECOND_YEAR_ENGINEERING
1002,"Government College of Engineering, Amravati (Government Autonomous)",Electronics and Telecommunication Engg,GSEBC,89.35,4309,CAP1,DIRECT_SECOND_YEAR_ENGINEERING
1002,"Government College of Engineering, Amravati (Government Autonomous)",Electronics and Telecommunication Engg,LOPEN,92.42,1473,CAP1,DIRECT_SECOND_YEAR_ENGINEERING
1002,"Government College of Engineering, Amravati (Government Autonomous)",Electronics and Telecommunication Engg,LST,80.24,20637,CAP1,DIRECT_SECOND_YEAR_ENGINEERING
1002,"Government College of Engineering, Amravati (Government Autonomous)",Electronics and Telecommunication Engg,EWS,92.42,1472,CAP1,DIRECT_SECOND_YEAR_ENGINEERING
1002,"Government College of Engineering, Amravati (Government Autonomous)",Instrumentation Engineering,GOPEN,85.92,9407,CAP1,DIRECT_SECOND_YEAR_ENGINEERING
1002,"Government College of Engineering, Amravati (Government Autonomous)",Instrumentation Engineering,GSC,82.12,16600,CAP1,DIRECT_SECOND_YEAR_ENGINEERING
1002,"Government College of Engineering, Amravati (Government Autonomous)",Instrumentation Engineering,LOPEN,85.76,9677,CAP1,DIRECT_SECOND_YEAR_ENGINEERING
